price,num_bedrooms,num_bathrooms,num_toilet,location,property_type
5000000,4,4,5,ikeja gra,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT IKEJA GRA IKEJA GRA IKEJA LAGOS
7500000,3,3,3,old ikoyi,3 BEDROOM FLAT 
7500000,2,2,2,banana island,2 BEDROOM FLAT 
9500000,3,3,3,banana island,3 BEDROOM FLAT 
20000000,6,6,6,old ikoyi,6 BEDROOM PENTHOUSE FLAT 
15000000,3,3,3,victoria island,3 BEDROOM BLOCKS OF FLATS HOUSE FOR RENT VICTORIA ISLAND LAGOS
10000000,2,2,2,victoria island,2 BEDROOM FLAT 
15000000,4,4,4,old ikoyi,4 BEDROOM PENTHOUSE FLAT 
17000000,4,4,4,ahmadu bello,4 BEDROOM PENTHOUSE FLAT 
15000000,4,4,4,victoria island,4 BEDROOM DETACHED DUPLEX HOUSE FOR RENT VICTORIA ISLAND LAGOS
8000000,4,4,4,old ikoyi,4 BEDROOM FLAT 
9000000,3,3,4,off adeola,3 BEDROOM BOYS QUARTERS FLAT 
12000000,4,4,5,off kingsway,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT OFF KINGSWAY OLD IKOYI IKOYI LAGOS
7000000,2,2,3,off kingsway,2 BEDROOM BOYS QUARTERS FLAT 
6000000,2,2,3,off adeola,2 BEDROOM PENTHOUSE FLAT 
15000000,3,3,4,bourdillon old,3 BEDROOM FLAT 
24000000,4,4,4,victoria island,4 BEDROOM PENTHOUSE FLAT 
10000000,3,3,4,ikoyi lagos,3 BEDROOM FLAT 
10000000,5,5,6,lekki phase,5 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT LEKKI PHASE 1 LEKKI LAGOS
3000000,3,3,4,ikate lekki,3 BEDROOM FLAT 
9000000,1,1,1,old ikoyi,1 BEDROOM MINI FLAT STUDIO APARTMENT FLAT 
5000000,2,2,2,victoria island,2 BEDROOM FLAT 
9000000,1,1,1,old ikoyi,1 BEDROOM MINI FLAT STUDIO APARTMENT FLAT 
20000000,5,5,5,old ikoyi,5 BEDROOM DETACHED DUPLEX HOUSE FOR RENT OLD IKOYI IKOYI LAGOS
16000000,3,3,3,banana island,3 BEDROOM FLAT 
10000000,3,3,3,eko atlantic,3 BEDROOM FLAT 
7500000,4,4,4,old ikoyi,4 BEDROOM FLAT 
7000000,3,3,4,victoria island,3 BEDROOM FLAT 
18000000,4,4,5,off adeola,4 BEDROOM BOYS QUARTERS FLAT 
9000000,4,4,5,off alexander,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT OFF ALEXANDER OLD IKOYI IKOYI LAGOS
15000000,3,3,3,adeola odeku,3 BEDROOM FLAT 
7500000,3,3,3,old ikoyi,3 BEDROOM FLAT 
5000000,2,2,2,victoria island,2 BEDROOM FLAT 
14000000,3,3,0,victoria island,3 BEDROOM FLAT 
15000000,4,4,4,old ikoyi,4 BEDROOM PENTHOUSE FLAT 
12000000,4,4,4,old ikoyi,4 BEDROOM PENTHOUSE FLAT 
8000000,4,4,4,old ikoyi,4 BEDROOM FLAT 
15000000,4,4,4,banana island,4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT BANANA ISLAND IKOYI LAGOS
15000000,3,3,3,victoria island,3 BEDROOM FLAT 
6500000,4,4,4,bourdillon ikoyi,4 BEDROOM FLAT 
9000000,3,3,3,old ikoyi,3 BEDROOM FLAT 
14000000,2,2,3,ikoyi lagos,2 BEDROOM PENTHOUSE FLAT 
4000000,3,3,4,lekki phase,3 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT LEKKI PHASE 1 LEKKI LAGOS
15000000,4,4,4,banana island,4 BEDROOM DETACHED DUPLEX HOUSE FOR RENT BANANA ISLAND IKOYI LAGOS
9000000,5,5,5,old ikoyi,5 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT OLD IKOYI IKOYI LAGOS
16000000,4,4,4,victoria island,4 BEDROOM FLAT 
15000000,3,3,3,ahmadu bello,3 BEDROOM PENTHOUSE FLAT 
12000000,4,4,4,old ikoyi,4 BEDROOM FLAT 
6000000,3,3,3,victoria island,3 BEDROOM FLAT 
7000000,3,3,4,ikoyi lagos,3 BEDROOM FLAT 
