property_title,property_location,property_price,property_features,property_link
SHOP IN A MALL COMMERCIAL PROPERTY FOR RENT ONIRU VICTORIA ISLAND LAGOS,Oniru Victoria Island Lagos,"₦ 1,870,000",bed bath toilet,https://www.propertypro.ng/property/shop-in-a-mall-commercial-property-for-rent-oniru-victoria-island-lagos-8DGXV
"LAND FOR RENT OCEANSIDE, LEKKI LEKKI PHASE 1 LEKKI LAGOS","Oceanside, Lekki Lekki Phase 1 Lekki Lagos","₦ 110,840,000",bed bath toilet,https://www.propertypro.ng/property/land-for-rent-oceanside-lekki-lekki-phase-1-lekki-lagos-9DLFG
4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT IKEJA GRA IKEJA GRA IKEJA LAGOS,Ikeja Gra Ikeja Gra Ikeja Lagos,"₦ 5,000,000",4 bed 4 bath 5 toilet,https://www.propertypro.ng/property/4-bedroom-terraced-duplex-house-for-rent-ikeja-gra-ikeja-gra-ikeja-lagos-6CRRK
3 BEDROOM FLAT / APARTMENT FOR RENT OLD IKOYI IKOYI LAGOS,Old Ikoyi Ikoyi Lagos,"₦ 7,500,000",3 bed bath toilet,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-old-ikoyi-ikoyi-lagos-7CSKN
2 BEDROOM FLAT / APARTMENT FOR RENT BANANA ISLAND IKOYI LAGOS,Banana Island Ikoyi Lagos,"₦ 7,500,000",2 bed bath toilet,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-banana-island-ikoyi-lagos-5CSQH
3 BEDROOM FLAT / APARTMENT FOR RENT BANANA ISLAND IKOYI LAGOS,Banana Island Ikoyi Lagos,"₦ 9,500,000",3 bed bath toilet,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-banana-island-ikoyi-lagos-7CSQH
6 BEDROOM PENTHOUSE FLAT / APARTMENT FOR RENT OLD IKOYI IKOYI LAGOS,Old Ikoyi Ikoyi Lagos,"₦ 20,000,000",6 bed bath toilet,https://www.propertypro.ng/property/6-bedroom-penthouse-flat-apartment-for-rent-old-ikoyi-ikoyi-lagos-6CSTB
3 BEDROOM BLOCKS OF FLATS HOUSE FOR RENT VICTORIA ISLAND LAGOS,Victoria Island Lagos,"₦ 15,000,000",3 bed bath toilet,https://www.propertypro.ng/property/3-bedroom-blocks-of-flats-house-for-rent-victoria-island-lagos-6CSTC
2 BEDROOM FLAT / APARTMENT FOR RENT VICTORIA ISLAND LAGOS,Victoria Island Lagos,"₦ 10,000,000",2 bed 2 bath 2 toilet,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-victoria-island-lagos-3CUSU
4 BEDROOM PENTHOUSE FLAT / APARTMENT FOR RENT OLD IKOYI IKOYI LAGOS,Old Ikoyi Ikoyi Lagos,"₦ 15,000,000",4 bed 4 bath 4 toilet,https://www.propertypro.ng/property/4-bedroom-penthouse-flat-apartment-for-rent-old-ikoyi-ikoyi-lagos-8CUKV
4 BEDROOM PENTHOUSE FLAT / APARTMENT FOR RENT AHMADU BELLO WAY VICTORIA ISLAND LAGOS,Ahmadu Bello Way Victoria Island Lagos,"₦ 17,000,000",4 bed bath toilet,https://www.propertypro.ng/property/4-bedroom-penthouse-flat-apartment-for-rent-ahmadu-bello-way-victoria-island-lagos-6CSKK
4 BEDROOM DETACHED DUPLEX HOUSE FOR RENT VICTORIA ISLAND LAGOS,Victoria Island Lagos,"₦ 15,000,000",4 bed bath toilet,https://www.propertypro.ng/property/4-bedroom-detached-duplex-house-for-rent-victoria-island-lagos-3CTEV
4 BEDROOM FLAT / APARTMENT FOR RENT OLD IKOYI IKOYI LAGOS,Old Ikoyi Ikoyi Lagos,"₦ 8,000,000",4 bed bath toilet,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-rent-old-ikoyi-ikoyi-lagos-2CTGT
3 BEDROOM BOYS QUARTERS FLAT / APARTMENT FOR RENT OFF ADEOLA ODEKU VI ADEOLA ODEKU VICTORIA ISLAND LAGOS,Off Adeola Odeku Vi Adeola Odeku Victoria Island Lagos,"₦ 9,000,000",3 bed 3 bath 4 toilet,https://www.propertypro.ng/property/3-bedroom-boys-quarters-flat-apartment-for-rent-off-adeola-odeku-vi-adeola-odeku-victoria-island-lagos-0CZFL
4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT OFF KINGSWAY OLD IKOYI IKOYI LAGOS,Off Kingsway Old Ikoyi Ikoyi Lagos,"₦ 12,000,000",4 bed 4 bath 5 toilet,https://www.propertypro.ng/property/4-bedroom-terraced-duplex-house-for-rent-off-kingsway-old-ikoyi-ikoyi-lagos-7CZSF
2 BEDROOM BOYS QUARTERS FLAT / APARTMENT FOR RENT OFF KINGSWAY OLD IKOYI IKOYI LAGOS,Off Kingsway Old Ikoyi Ikoyi Lagos,"₦ 7,000,000",2 bed 3 bath 3 toilet,https://www.propertypro.ng/property/2-bedroom-boys-quarters-flat-apartment-for-rent-off-kingsway-old-ikoyi-ikoyi-lagos-7CZSJ
